ID,Event Name,Category,Sub-Category,Hook Line,Location,Address,Longitude and Latitude,Town,Distance (mi),Schedule,Time,Recurrence,Season,Est. Cost,Effort,Target Audience,User Tips,Verification Method,Verification Difficulty,XP Value,Badge Eligibility,Crew Formation,Is Anchor,Is Hidden Gem,Priority (1-5),Source,Audit_Confidence
64,Cold Exposure Night,Ritual,Cold Plunge,Shared discomfort bonds people fast.,Raquette River cold plunge spot,"Ives Park Boat Launch, Main St, Potsdam, NY 13676",,Potsdam Area,0,Weekly in winter,30-60 minutes,Recurring,Winter,$,High,"Wellness seekers, cold therapy curious","Start with 30 seconds, work up. Have warm clothes ready. Never alone—always with a spotter. The endorphin rush is real.",Time-stamped group photo,Easy,200,"Challenger, Ritualist",Medium,TRUE,FALSE,3,Expanded_Database,HIGH
65,Midwinter Sauna + Cold Dip,Winter Activities,Cold Plunge,Teaches resilience through contrast.,Private sauna setup,"Private residence, Potsdam area, NY 13676",,Potsdam Area,0,January–February,2-3 hours,Seasonal,Winter,$,High,"Wellness enthusiasts, cold plunge curious",Book the sauna in advance. Three rounds of hot-cold is the protocol. Bring flip-flops and a robe.,Location + photo,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,3,Expanded_Database,HIGH
66,Trail-to-Swim Combo Day,Summer Activities,Hike & Swim,Effort rewarded immediately.,Adirondack trail + lake,"Adirondack cabin rentals, Lake Clear, NY 12945",,Potsdam Area,0,Weekends,Half day (4-6 hours),Seasonal,Year-round,$,High,"Active hikers, swimmers, summer lovers","Hike to the water, cool off, hike out. Pack everything in dry bags. The full-body reset is real.",GPS trail + swim photo,Automated,200,Challenger,Medium,TRUE,FALSE,3,Expanded_Database,HIGH
67,Harpers Falls,Outdoor,Waterfall Hike,"Three small stream crossings, best in late spring runoff",Donnerville State Forest,"Donnerville Rd off CR 27, Canton, NY 13617",,Canton/Clare,18,Daily,9:00am - 3:00pm,One-time,Year-round,Free,High,"Waterfall seekers, hikers","Less crowded than Lampson, more intimate. The rocks are slippery—good footwear required. Worth the extra drive.",Visit STLC,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,3,Events_Master,HIGH
68,Robert Moses State Park Trails,Outdoor,State Park,"6mi trails, St Lawrence River overlooks, picnic areas",Robert Moses SP,"Off Rt 37, Massena, NY 13662",,Massena,25,Daily,Dawn to dusk,One-time,Year-round,Free,High,"Beach lovers, families, campers",Beach access requires fee in summer. The nature trails are free year-round. Sunsets over the St. Lawrence are legendary.,Visit STLC,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,3,Events_Master,HIGH
69,Adirondack VIC Trails,Outdoor,Nature Walk,"7+ miles, bog boardwalk, Jenkins Mtn 8.2mi RT. Great visitor center.",Paul Smiths VIC,"Rt 30, Potsdam, NY 13676",,Paul Smiths,40,Daily,30-90 min,One-time,Year-round,Free,High,"Families, nature learners, birders","Visitor center has maps and info. The boardwalk trails are accessible. Great for families, educational for all.",ADK Laurentian,Easy,200,"Challenger, Explorer",Medium,TRUE,FALSE,3,Events_Master,HIGH
70,River Clean-up,Seasonal,Volunteering,Service to the environment that sustains the town.,Ives Park/Riverbanks,"Main St & Maple St, Potsdam, NY 13676",,Potsdam Area,0,Earth Day,2-3 hours,Seasonal,Year-round,$,High,"Environmentalists, volunteers, community helpers",Gloves and bags usually provided. Wear clothes you don't mind trashing. The gratitude from locals is real.,,Medium,200,Challenger,Medium,TRUE,FALSE,3,More_Events,HIGH
71,Pick-up Soccer,Social,Pickup Sports,Shared physical exertion without league pressure.,Clarkson/SUNY Turf,"8 Clarkson Ave, Potsdam, NY 13699",,Potsdam Area,0,Late afternoons,1-2 hours,Seasonal,Year-round,$,High,"Soccer players, athletic types",The field behind the gym is the spot. Bring both colored pinnies. All skill levels welcome.,,Medium,200,"Challenger, Connector",Medium,TRUE,FALSE,3,More_Events,HIGH
72,Folk School Workshop,Social,Craft Workshop,Acquiring a physical skill through shared effort.,North Country Folk,"2329 US-11, Potsdam, NY 13676",,Potsdam Area,0,Monthly,Half day (3-4 hours),Seasonal,Year-round,$,High,"Crafters, hands-on learners",Register in advance—they fill up. Materials included in fee. All skill levels.,,Medium,200,"Challenger, Connector",Medium,TRUE,FALSE,3,More_Events,HIGH
73,Stone Valley Solo,Solo,Forest Trail,Testing self-reliance in a rugged landscape.,"Colton, NY","Stone Valley Rd, Colton, NY 13625",,Potsdam Area,0,Any dry day,2-3 hours,Seasonal,Year-round,$,High,"Solo hikers, trail runners, nature lovers",The solo version hits different. Leave your phone in the car. The quiet is the point.,,Medium,200,Challenger,Medium,TRUE,FALSE,3,More_Events,HIGH
74,Hospital 5k Run,Solo,Running Event,Personal physical challenge within a group.,Canton/Potsdam,"Main St, Canton, NY 13617",,Potsdam Area,0,Race days,Race morning,Seasonal,Year-round,$,High,"Runners, charity supporters, fitness seekers",Registration usually required. The course is flat and fast. Proceeds go to good causes.,,Medium,200,Challenger,Medium,TRUE,FALSE,3,More_Events,HIGH
75,Skate Park Session,Social,Skateboarding,Physical risk-taking and community encouragement.,Ives Park Sk8 Park,"Main St & Maple St, Potsdam, NY 13676",,Potsdam Area,0,Dry afternoons,1-3 hours,Seasonal,Year-round,$,High,"Skaters, BMX riders, youth",Helmets required under 18. Locals are friendly to learners. Best light is late afternoon.,,Medium,200,"Challenger, Connector",Medium,TRUE,FALSE,3,More_Events,HIGH
76,"The ""Town-to-Town"" Bike",Solo,Personal Practice,Testing endurance on the North Country flats.,Potsdam to Canton,"Main St, Canton, NY 13617",,Potsdam Area,0,Summer mornings,3-5 hours,Seasonal,Summer,$,High,"Independent types, self-explorers",Potsdam to Canton is the classic route. Bring repair kit. The Racquette River path is scenic.,,Medium,200,Challenger,Medium,TRUE,FALSE,3,More_Events,HIGH
77,Cross-Country Skiing,Winter Activities,Cross-Country Skiing,"Finding ""flow"" in the silence of the woods.",Higley/Higley Flow,"442 Cold Brook Dr, Colton, NY 13625",,Potsdam Area,0,Winter,10:00am - 3:00pm,Seasonal,Winter,$,High,"Winter sports lovers, cold weather enthusiasts",It's the most efficient way to enjoy the snow.,,Medium,200,"Challenger, Explorer",Medium,TRUE,FALSE,3,More_Events,HIGH
78,Pick-up Basketball,Social,Pickup Sports,Physical competition and shared effort.,Sandstoner Park,"Sandstoner Dr, Potsdam, NY 13676",,Potsdam Area,0,Summer evenings,1-2 hours,Seasonal,Summer,$,High,"Basketball players, pickup game lovers",The outdoor courts get competitive. Call your own fouls. Bring water—no fountains.,,Medium,200,"Challenger, Connector",Medium,TRUE,FALSE,3,More_Events,HIGH
79,Vintage Snowmobile Ride,Events,Snowmobile Event,Annual vintage snowmobile gathering,Cranberry Lake,"Cranberry Lake, Colton, NY 13625",,Colton,30,February,10:00am - 4:00pm,One-time,Winter,$,Medium,"Snowmobile enthusiasts, vintage lovers",The old machines are art. The parade is the main event. Photography welcome.,Visit STLC,Easy,150,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
80,Creative Spirit Writers Group,Ritual,Writing Group,Turns thoughts into shared creation.,Creative Spirit Arts,"3 Elm St, Potsdam, NY 13676",,Potsdam Area,0,Wednesdays,2 hours,One-time,Year-round,$,Medium,"Writers, poets, creative feedback seekers",Bring 5 copies of your work. Feedback is kind but honest. All genres welcome.,Facilitator sign-in,Easy,100,Ritualist,Medium,FALSE,FALSE,3,Early_Database,HIGH
81,Snowshoe at Higley Flow,Winter Activities,Snowshoeing,Cold-weather movement keeps winter alive.,Higley Flow State Park,"442 Cold Brook Dr, Colton, NY 13625",,Potsdam Area,0,Winter,10:00am - 2:00pm,One-time,Winter,$,Medium,"Snowshoers, winter hikers, peaceful seekers",Rent snowshoes in Potsdam if needed. The frozen lake crossing is magical but check ice thickness. Full moon nights are special.,Trailhead photo,Easy,100,Explorer,Medium,FALSE,FALSE,3,Early_Database,HIGH
82,Raquette River Sunset Paddle,Summer Activities,Sunset Paddle,Nature immersion + effort.,Higley Flow State Park,"442 Cold Brook Dr, Colton, NY 13625",,Colton,15,Summer evenings,2-3 hours (evening),One-time,Summer,$,Medium,"Paddlers, romantics, sunset chasers",Launch an hour before sunset. The river goes golden. Bring your phone in waterproof case.,Water photo,Easy,100,Participant,Medium,FALSE,FALSE,3,Early_Database,HIGH
83,Portraits of Potsdam Photo Walk,Solo,Photography Walk,Active seeing replaces scrolling.,Town streets,"Village of Potsdam, NY 13676",,Potsdam Area,0,Anytime,1-3 hours,One-time,Year-round,$,Medium,"Photographers, visual storytellers, town explorers",Golden hour is magic. The old buildings have character. Ask before shooting people.,Photo set,Easy,100,Participant,Medium,FALSE,FALSE,3,Early_Database,HIGH
84,Clarkson Intramural Drop-Ins,Ritual,Rec League,Low-stakes competition builds camaraderie.,Clarkson Athletic Center,"8 Clarkson Ave, Potsdam, NY 13699",,Potsdam Area,0,Weekly evenings,1-2 hours,Recurring,Year-round,$,Medium,"Students, recreational athletes",Student ID required. Equipment provided. Good way to meet people.,Roster or photo,Easy,100,Ritualist,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
85,Pond Hockey Pickup,Winter Activities,Pickup Hockey,Turns frozen water into shared joy.,Ives Park Pond,"Maple St, Potsdam, NY 13676",,Potsdam,0,After freeze,12:00pm - 4:00pm,Seasonal,Year-round,$,Medium,"Hockey players, winter sports lovers",Bring both white and dark jerseys. Games form organically—just show up with skates. Shovel helps you make friends fast.,Ice photo,Easy,100,Explorer,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
86,Snowshoe Stargazing Walk,Winter Activities,Night Snowshoe,"Reclaims night as wonder, not isolation.",State forest trails,"Higley Flow State Park, 442 Cold Brook Dr, Colton, NY 13625",,Potsdam Area,0,Clear winter nights,8:00pm - 11:00pm,Seasonal,Winter,$,Medium,"Stargazers, night adventurers",New moon nights are best. Bring a red headlamp to preserve night vision. Hot drinks in a thermos are essential.,Star photo + GPS,Automated,100,Explorer,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
87,Ice Fishing Intro Day,Winter Activities,Ice Fishing,Patience + novelty builds humility.,Black Lake,"Black Lake, NY",,Hammond,35,Mid-winter,7:00am - 2:00pm,Seasonal,Winter,$,Medium,"Curious beginners, anglers",Join a group your first time—locals are helpful. Basic gear is cheap at Walmart. The waiting is the point.,Group photo on ice,Easy,100,Explorer,Medium,FALSE,FALSE,3,Expanded_Database,MEDIUM
88,Spring Reset Hike,Seasonal,Seasonal Hike,Clears winter stagnation.,Adirondack foothills,"Adirondack cabin rentals, Lake Clear, NY 12945",,Potsdam Area,0,Late April,2-3 hours,Seasonal,Spring,$,Medium,"Hikers shaking off winter, fresh air seekers",Trails are muddy—embrace it. The green coming back is worth the mess. Waterproof boots essential.,Trailhead check-in,Easy,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
89,Bike Tune + First Ride,Seasonal,Seasonal Prep,Restores independence and movement.,Potsdam bike paths,"Village of Potsdam, NY 13676",,Potsdam Area,0,Early spring,2-3 hours,Seasonal,Spring,$,Medium,"Cyclists, spring ritual keepers",YouTube for basic maintenance. The bike shops in town can help. That first spring ride is freedom.,Before/after bike photo,Easy,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
90,Sunset Paddle,Summer Activities,Sunset Paddle,Golden-hour presence builds memory.,Higley Flow State Park,"442 Cold Brook Dr, Colton, NY 13625",,Colton,15,Evenings,2 hours (evening),Seasonal,Year-round,$,Medium,"Paddlers, peaceful seekers","Calm water, fading light, total peace. Someone should know your float plan.",Water photo,Easy,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
91,First Cold Morning Run,Seasonal,Seasonal Running,Signals seasonal mental shift.,Potsdam roads,"Village of Potsdam, NY 13676",,Potsdam Area,0,October mornings,6:00am - 7:30am,Seasonal,Fall,$,Medium,"Runners, seasonal athletes",Dress lighter than you think. Your body heats up fast. The air in your lungs is alive.,GPS run log,Automated,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
92,Hike Before First Snow,Seasonal,Seasonal Hike,Creates closure.,Adirondack trail,"Adirondack cabin rentals, Lake Clear, NY 12945",,Potsdam Area,0,Late fall,2-4 hours,Seasonal,Fall,$,Medium,"Hikers, season transitioners",Check the forecast obsessively. The quiet before winter is sacred. Bring layers—weather shifts fast.,Summit photo,Easy,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
93,Personal Fitness Streak,Solo,Fitness Challenge,Consistency over motivation.,Anywhere,"Anywhere, Potsdam, NY 13676",,Potsdam Area,0,Daily,Your schedule,Seasonal,Year-round,$,Medium,"Self-improvers, discipline seekers","Start small—7 days, then 30. Track it visibly. The streak itself becomes motivation.",Daily log,Easy,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,FLAG
94,Trail Completion Goal,Solo,Trail Challenge,Progress you can map.,St. Lawrence County Trail System,Various trailheads,,Potsdam,0,Anytime,Your schedule,Seasonal,Year-round,$,Medium,"Completionists, goal-oriented hikers","Map all local trails, tick them off. Photos at each trailhead. The completion high is real.",GPS logs,Automated,100,Participant,Medium,FALSE,FALSE,3,Expanded_Database,FLAG
95,St Lawrence State Park XC Skiing,Winter Activities,Cross-Country Skiing,"Golf course becomes XC ski trails, sledding hills",SL State Park Golf Course,"Off Rt 37, Ogdensburg, NY 13669",,Ogdensburg,30,Daily,10:00am - 4:00pm,One-time,Year-round,Free,Medium,"Cross-country skiers, families",Riverside trails with beautiful views. Grooming is inconsistent—check conditions. Park pass required in season.,Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,3,Events_Master,HIGH
96,Ice Fishing - Black Lake,Winter Activities,Ice Fishing,"Pike, walleye, perch. Bring auger, tip-ups.",Black Lake,"Black Lake Rd, Hammond, NY 13646",,Hammond,35,Daily,6:00am - 4:00pm,One-time,Year-round,$,Medium,"Ice anglers, patient outdoor types",Tip-ups work best for pike. The south end near the launch is popular. Ice shanties available for rent locally.,Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,3,Events_Master,HIGH
97,Ice Fishing - St Lawrence River Bays,Winter Activities,Ice Fishing,"Yellow perch, panfish, pike",St Lawrence River,"Wheathouse Bay/Chippewa, Ogdensburg, NY 13669",,Ogdensburg,30,Daily,6:00am - 4:00pm,One-time,Year-round,$,Medium,"Ice fishing enthusiasts, anglers",Perch and walleye in the bays. Check ice conditions—current makes thickness variable. Local bait shops have reports.,Adirondack.net,Easy,100,Explorer,Medium,FALSE,FALSE,3,Events_Master,HIGH
98,Kip Trail XC Skiing,Winter Activities,Cross-Country Skiing,1.25 mi ungroomed trail on SLU campus,SLU Campus,"Off Park St, Canton, NY 13617",,Canton,10,Daily,10:00am - 4:00pm,One-time,Year-round,Free,Medium,"Nordic skiers, winter fitness seekers",Advanced terrain with steep descents. Beautiful old-growth sections. Start early—trail gets tracked out by afternoon.,Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,3,Events_Master,HIGH
99,Saddlemire Trail XC Skiing,Winter Activities,Cross-Country Skiing,"4.5 mi ungroomed, connects to Kip Trail",SLU Area,"Pike Rd area, Canton, NY 13617",,Canton,10,Daily,10:00am - 4:00pm,One-time,Year-round,Free,Medium,"Cross-country skiers, trail enthusiasts","Intermediate difficulty, well-marked. Connects to broader trail system. The covered bridge section is picturesque.",Visit STLC,Easy,100,Explorer,Medium,FALSE,FALSE,3,Events_Master,HIGH
100,SLU Writers Series,Arts & Culture,Literary Reading,Author readings and discussions,SLU Campus,"Canton, Canton, NY 13617",,Canton,10,Monthly,7:00pm - 8:30pm,One-time,Year-round,Free,Medium,"Literary fans, writers, readers","Published authors, free admission. The Q&A is intimate. Bring a book to sign.",Visit STLC,Easy,100,Culture Vulture,Medium,FALSE,FALSE,3,Events_Master,HIGH
101,Open Chess Play,Sports & Recreation,Chess Club,Weekly community chess meetup,Canton Area,"Canton, Canton, NY 13617",,Canton,10,Tuesday,6:00pm - 9:00pm,Weekly,Year-round,Free,Medium,"Chess players, strategic thinkers",All levels welcome. Bring your own board or borrow. The regulars will teach you.,Visit STLC,Easy,100,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
102,Clarkson Climbing Wall,Sports & Recreation,Indoor Climbing,"3-story climbing wall, open to community?",Clarkson Rec Center,"Campus, Potsdam, NY 13676",,Potsdam,0,Varies,4:00pm - 9:00pm,Ongoing,Year-round,Free students,Medium,"Climbers, fitness seekers, students",Belay certification required for lead climbing. Bouldering is drop-in. Staff are helpful.,Clarkson,Easy,100,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
103,Sunrise Stables Events,Sports & Recreation,Horseback Riding,"Riding lessons, seasonal events like Christmas Day Camp",Sunrise Stables,"507 Ames Rd, Potsdam, NY 13676",,Potsdam,5,Varies,9:00am - 5:00pm,Seasonal,Year-round,$$,Medium,"Horse lovers, families, riders",Book in advance. Beginners welcome. The trail rides are peaceful.,North Country Now,Easy,100,Participant,Medium,FALSE,FALSE,3,Events_Master,HIGH
104,Pine St. Public Skate,Ritual,Ice Skating,Physical movement in a shared community space.,Pine Street Arena,"25 Pine St, Potsdam, NY 13676",,Potsdam Area,0,Weekly (Check schedule),Check arena schedule,Seasonal,Year-round,$,Medium,"Families, casual skaters, date seekers","Smaller rink, more casual vibe. Good for beginners. The snack bar has decent food.",,Medium,100,Ritualist,Medium,FALSE,FALSE,3,More_Events,HIGH
105,Maxfield’s Trivia,Ritual,Weekly Routine,"Cognitive play and team bonding in a ""Third Place.""","Market St, Potsdam","51 Market St, Potsdam, NY 13676",,Potsdam Area,0,Weekly (Check schedule),7:00pm - 9:30pm,Seasonal,Year-round,$,Medium,"Trivia buffs, competitive friend groups","Winning is secondary to the ""collective flow.""",,Medium,100,Ritualist,Medium,FALSE,FALSE,3,More_Events,HIGH
106,Nicandri Snowshoeing,Winter Activities,Winter Recreation,"Turning ""bad weather"" into a personal playground.","Massena, NY","71 Maple Ave, Massena, NY 13662",,Potsdam Area,0,"After 4"" of snow",10:00am - 3:00pm,Seasonal,Winter,$,Medium,"Winter sports lovers, cold weather enthusiasts",Rentals are free. The woods are silent in winter.,,Medium,100,Explorer,Medium,FALSE,FALSE,3,More_Events,HIGH
107,Nighttime Sledding,Winter Activities,Night Sledding,Reclaiming childhood joy and physical risk in the dark.,"""Foxy"" hill area","Clarkson Hill, Old Main Hill, Potsdam, NY 13699",,Potsdam Area,0,Winter nights,7:00pm - 10:00pm,Seasonal,Winter,$,Medium,"Thrill seekers, friend groups",Headlamps required. The golf course hill is the spot—technically not allowed but tolerated. Buddy system mandatory.,,Medium,100,Explorer,Medium,FALSE,FALSE,3,More_Events,HIGH
108,Postwood Sunset Jump,Summer Activities,Swimming Hole,A sensory shock that defines a Potsdam summer.,Postwood Park,"Postwood Dr, Potsdam, NY 13676",,Potsdam Area,0,Summer evenings,5:00pm - 8:00pm,Seasonal,Summer,$,Medium,"Swimmers, thrill seekers, locals",The rope swing is at your own risk. Check depth before jumping. Golden hour is magic hour.,,Medium,100,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
109,Kaneb Orchard Picking,Seasonal,Apple Picking,The physical act of harvesting your own food.,"Massena, NY","71 Maple Ave, Massena, NY 13662",,Potsdam Area,0,Sept/October,2-3 hours,Seasonal,Fall,$,Medium,"Families, apple lovers, fall enthusiasts",Weekdays are way less crowded. Bring cash. The cider donuts are mandatory.,,Medium,100,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
110,Red Sandstone Trek,Seasonal,Forest Trail,Visual awe as an antidote to digital saturation.,Hannawa Falls,"Red Sandstone Trail, Hannawa Falls, NY 13647",,Potsdam Area,0,Peak Foliage (Oct),2-4 hours,Seasonal,Fall,$,Medium,"Trail hikers, nature walkers",The colors only last two weeks. Don't wait.,,Medium,100,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
111,Norwood Lake Swim,Social,Lake Swimming,Low-barrier summer connection in a shared space.,Norwood Beach,"Beach St, Norwood, NY 13668",,Potsdam Area,0,Summer days,11:00am - 6:00pm,Seasonal,Summer,$,Medium,"Swimmers, beach lovers, families",The beach is small but clean. Facilities are basic. The water is refreshingly cold.,,Medium,100,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
112,County Fair Visit,Social,County Fair,Engaging with the agricultural backbone of the region.,"Gouverneur, NY","Main St, Gouverneur, NY 13642",,Potsdam Area,0,August,10:00am - 10:00pm,Seasonal,Summer,$,Medium,"Families, fair lovers, community supporters",Go on a weekday for shorter lines. The demolition derby is the highlight. Bring cash for food.,,Medium,100,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
113,Porchfest,Social,Music Festival,Turning private space into a public celebration.,Potsdam Village,"Village of Potsdam, NY 13676",,Potsdam Area,0,Summer,12:00pm - 6:00pm,Seasonal,Summer,$,Medium,"Music lovers, neighborhood wanderers",Get the map early. Bring a chair and cooler. The residential porches have the best acts.,,Medium,100,Connector,Medium,FALSE,FALSE,3,More_Events,HIGH
114,Wild Berry Foraging,Solo,Foraging,Tuning your eyes to the cycles of the landscape.,Higley Flow State Park area,"Various trails near Potsdam, NY",,Potsdam Area,0,July/August,1-2 hours,Seasonal,Summer,$,Medium,"Foragers, nature connectors","Learn to ID before you eat. Blackberries in July, raspberries in August. Leave some for wildlife.",,Medium,100,Participant,Medium,FALSE,FALSE,3,More_Events,MEDIUM
115,Potsdam Dog Walk,Solo,Dog Walking,Responsibility and companionship in motion.,Village sidewalks,"Village of Potsdam, NY 13676",,Potsdam Area,0,Daily,20-45 minutes,Seasonal,Year-round,$,Medium,"Dog owners, pet lovers",The park loop is 1.2 miles. Bag stations throughout. Other dog owners are instant friends.,,Medium,100,Participant,Medium,FALSE,FALSE,3,More_Events,HIGH
116,McDuff’s Wing Night,Ritual,Weekly Routine,Midweek social anchor.,McDuff’s Pub,"McDuff's Pub, 59 Market St, Potsdam, NY 13676",,Potsdam Area,0,Wednesdays,5:00pm - 11:00pm,One-time,Year-round,$,Low,"Wing fans, students, trivia players",Make it standing tradition.,Receipt or group photo,Easy,50,Ritualist,Medium,FALSE,FALSE,3,Early_Database,HIGH
117,Pub Trivia Night,Ritual,Trivia Night,Playful mental competition builds team bonds.,McDuff's Pub,"59 Market St, Potsdam, NY 13676",,Potsdam,0,Weekly,7:00pm - 9:30pm,One-time,Year-round,$,Low,"Trivia buffs, competitive friend groups",Teams of 4-6 are ideal. No phones—they check. Get there 30 min early for a good table.,Scorecard photo,Easy,50,Ritualist,High,FALSE,FALSE,3,Early_Database,HIGH
118,Library D&D Night,Ritual,Tabletop Gaming,Collaborative storytelling over consumption.,Potsdam Public Library,"2 Park St, Potsdam, NY 13676",,Potsdam Area,0,Mondays,3-4 hours,One-time,Year-round,$,Low,"Tabletop gamers, fantasy lovers, RPG enthusiasts",New player friendly. Dice provided. Campaigns run 6-8 sessions.,Sign-in,Easy,50,Ritualist,Medium,FALSE,FALSE,3,Early_Database,HIGH
119,First Night Potsdam,Winter Activities,New Year's Eve,Community ritual for year transition.,Downtown Potsdam,"Market St, Potsdam, NY 13676",,Potsdam Area,0,31-Dec,6:00pm - 12:00am,One-time,Year-round,$,Low,"Families, community celebrators, New Year's revelers",Buttons are your ticket—buy early for discount. The fireworks at midnight are downtown. Dress for standing outside.,Event photo,Easy,50,Explorer,Medium,FALSE,FALSE,3,Early_Database,HIGH
120,Earth Week Volunteering,Seasonal,Volunteering,Turns awareness into action.,Clarkson Campus,"8 Clarkson Ave, Potsdam, NY 13699",,Potsdam Area,0,April,9:00am - 4:00pm,One-time,Spring,$,Low,"Environmentalists, volunteers, eco-conscious students",Sign up through campus or town. The camaraderie is as good as the impact.,Volunteer log,Easy,50,Participant,Medium,FALSE,FALSE,3,Early_Database,HIGH
121,Wildflower Hike,Seasonal,Nature Walk,Mindful nature attention.,Indian Creek Nature Center,"Indian Creek Rd, Canton, NY 13617",,Canton,8,May,1-2 hours,One-time,Spring,$,Low,"Nature lovers, amateur botanists, spring hikers","May and early June are peak. Trilliums carpet the forest floor. Take photos, not flowers.",Flower photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Early_Database,HIGH
122,Apple Picking,Seasonal,Apple Picking,Harvest ritual ties body to season.,Goodwin’s Orchard,"Goodwin's Orchard, 1415 CR 33, Waddington, NY 13694",,Potsdam Area,0,Sept–Oct,2-3 hours,One-time,Year-round,$,Low,"Families, couples, autumn tradition keepers",Call ahead for what's ripe. Bring your own bags for discount. The kids' activities cost extra.,Orchard photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Early_Database,HIGH
123,Leaf-Peeping Road Trip,Seasonal,Foliage Tour,Shared awe builds memory.,Adirondack routes,"Adirondack cabin rentals, Lake Clear, NY 12945",,Potsdam Area,0,Oct,Half day (4-5 hours),One-time,Year-round,$,Low,"Fall foliage lovers, road trippers, photographers",Plan the route but stay flexible. The back roads surprise you. Stop often.,Scenic photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Early_Database,HIGH
124,Board Game Night,Social,Board Games,Low-barrier connection.,Potsdam Public Library,"2 Park St, Potsdam, NY 13676",,Potsdam,0,Any weeknight,3-4 hours,One-time,Year-round,$,Low,"Board gamers, social strategists, cozy night seekers",The host usually provides games. Bring a snack to share. Expect 3-4 hours.,Table photo,Easy,50,Connector,High,FALSE,FALSE,3,Early_Database,HIGH
125,Community Potluck,Social,Potluck Dinner,Shared food creates belonging.,Trinity Episcopal Church Hall,"18 Elm St, Potsdam, NY 13676",,Potsdam,0,Monthly,2-3 hours,One-time,Year-round,$,Low,"Community builders, home cooks, new friend seekers",Label dishes for allergies. Bring serving utensils. Arrive on time—food goes fast.,Group photo,Easy,50,Connector,Medium,FALSE,FALSE,3,Early_Database,HIGH
126,Sunday Reset Walks,Ritual,Weekly Walk,Turns Sundays from dread into grounding.,Village of Potsdam sidewalks,"Village of Potsdam, NY 13676",,Potsdam Area,0,Every Sunday afternoon,1-2 hours,Seasonal,Year-round,$,Low,"Weekly resetters, routine builders","Same time, same route, every week. The rhythm is the point. Rain or shine.",Group photo,Easy,50,Ritualist,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
127,Weekly Creative Hour,Ritual,Creative Practice,Protects creative identity through consistency.,SUNY Potsdam Library,"44 Pierrepont Ave, Potsdam, NY 13676",,Potsdam,1,Same hour weekly,1 hour weekly,Recurring,Year-round,$,Low,"Artists, writers, creative practitioners","Protect this time fiercely. No screens, no interruptions. What you make matters less than that you made.",Time-stamped workspace photo,Easy,50,Ritualist,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
128,Winter Bonfire Story Night,Winter Activities,Bonfire Gathering,Ancient ritual energy in modern life.,Rural backyard,"Private property, Potsdam area, NY 13676",,Potsdam Area,0,Any cold evening,3-4 hours,Seasonal,Year-round,$,Low,"Social groups, storytellers",BYOB and a chair. Someone always brings a guitar. The fire pit at Higley is first-come. Dress warmer than you think.,Fire photo,Easy,50,Explorer,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
129,First Trail Mud Walk,Seasonal,Seasonal Hike,Marks seasonal transition with acceptance of mess.,Stone Valley Trail,"Stone Valley Rd, Potsdam, NY 13676",,Potsdam,5,Early spring,1-2 hours,Seasonal,Spring,$,Low,"Mud-embracers, spring hikers",This is a rite of passage. Wear old shoes. The squish is satisfying.,Boot photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
130,River Ice Break Watch,Seasonal,Spring Thaw,Witnessing seasonal power firsthand.,Raquette River,"Ives Park Boat Launch, Main St, Potsdam, NY 13676",,Potsdam Area,0,Thaw season,Daylight (thaw season),Seasonal,Year-round,$,Low,"Spring watchers, nature observers",The Raquette announces spring. Listen for the cracking. It's violent and beautiful.,River photo,Easy,50,Participant,Medium,FALSE,FALSE,3,Expanded_Database,HIGH
